date,close,volume,amount_estimated
2024-01-02,71.14,21739531.0,1546550235.34
2024-01-03,72.97,24444642.0,1783725526.74
2024-01-04,71.04,18454887.0,1311035172.48
2024-01-05,69.39,21725161.0,1507508921.79
2024-01-08,69.26,21999985.0,1523718961.1000001
2024-01-09,68.4,21451736.0,1467298742.4
2024-01-10,67.79,19540004.0,1324616871.16
2024-01-11,68.76,18095272.0,1244230902.72
2024-01-12,68.22,16147241.0,1101564781.02
2024-01-16,65.84,27606771.0,1817629802.64
2024-01-17,65.31,22684440.0,1481520776.4
2024-01-18,64.43,19306965.0,1243947754.95
2024-01-19,65.8,34547701.0,2273238725.7999997
2024-01-22,65.01,27294183.0,1774394836.8300002
2024-01-23,70.4,53017506.0,3732432422.4
2024-01-24,71.58,36503317.0,2612907430.86
2024-01-25,70.23,23268568.0,1634151530.64
2024-01-26,70.39,19418234.0,1366849491.26
2024-01-29,69.96,17537387.0,1226915594.52
2024-01-30,68.7,17089647.0,1174058748.9
2024-01-31,68.55,15743436.0,1079212537.8
2024-02-01,68.84,14445718.0,994443227.12
2024-02-02,68.23,18824156.0,1284372163.88
2024-02-05,71.01,27720796.0,1968453723.96
2024-02-06,74.61,39360894.0,2936716301.34
2024-02-07,70.02,53766279.0,3764714855.58
2024-02-08,67.16,33070575.0,2221019817.0
2024-02-09,68.4,18998367.0,1299488302.8000002
2024-02-12,69.52,18151119.0,1261865792.8799999
2024-02-13,67.98,13560581.0,921848296.38
2024-02-14,69.77,12817312.0,894263858.2399999
2024-02-15,70.2,12078127.0,847884515.4
2024-02-16,70.29,16393336.0,1152287587.44
2024-02-20,69.52,14353273.0,997839538.9599999
2024-02-21,71.96,23533208.0,1693449647.6799998
2024-02-22,72.5,14836564.0,1075650890.0
2024-02-23,72.34,12301600.0,889897744.0
2024-02-26,72.89,13972973.0,1018490001.97
2024-02-27,74.06,14490200.0,1073144212.0
2024-02-28,70.97,16905328.0,1199771128.16
2024-02-29,70.41,12549152.0,883585792.3199999
2024-03-01,71.0,11980108.0,850587668.0
2024-03-04,68.38,19550031.0,1336831119.78
2024-03-05,68.45,15804375.0,1081809468.75
2024-03-06,70.09,19784961.0,1386727916.49
2024-03-07,68.92,12374619.0,852858741.48
2024-03-08,69.93,16430409.0,1148978501.3700001
2024-03-11,71.24,13510363.0,962478260.1199999
2024-03-12,72.44,13314687.0,964515926.28
2024-03-13,72.77,15319616.0,1114808456.32
